POLYGON ((-179.9999 -89.9999,-179.9999 -0.0,0 0,-0.0 -89.9999,-179.9999 -89.9999))
POLYGON ((6.328121484374998 51.679630078124994,6.328121484374998 51.855411132812499,6.679683789062498 51.855411132812499,6.679683789062498 51.679630078124994,6.328121484374998 51.679630078124994))
POLYGON ((6.679683789062498 51.679630078124994,6.679683789062498 51.855411132812499,7.031246093749998 51.855411132812499,7.031246093749998 51.679630078124994,6.679683789062498 51.679630078124994))
POLYGON ((6.328121484374998 51.855411132812499,6.328121484374998 52.031192187499997,6.679683789062498 52.031192187499997,6.679683789062498 51.855411132812499,6.328121484374998 51.855411132812499))
POLYGON ((6.679683789062498 51.855411132812499,6.679683789062498 52.031192187499997,7.031246093749998 52.031192187499997,7.031246093749998 51.855411132812499,6.679683789062498 51.855411132812499))
POLYGON ((7.031246093749998 51.328067968749998,7.031246093749998 51.415958496093751,7.207027246093748 51.415958496093751,7.207027246093748 51.328067968749998,7.031246093749998 51.328067968749998))
POLYGON ((7.207027246093748 51.328067968749998,7.207027246093748 51.415958496093751,7.382808398437497 51.415958496093751,7.382808398437497 51.328067968749998,7.207027246093748 51.328067968749998))
POLYGON ((7.031246093749998 51.415958496093751,7.031246093749998 51.503849023437496,7.207027246093748 51.503849023437496,7.207027246093748 51.415958496093751,7.031246093749998 51.415958496093751))
POLYGON ((7.207027246093748 51.415958496093751,7.207027246093748 51.503849023437496,7.382808398437497 51.503849023437496,7.382808398437497 51.415958496093751,7.207027246093748 51.415958496093751))
POLYGON ((7.382808398437497 51.328067968749998,7.382808398437497 51.503849023437496,7.734370703124998 51.503849023437496,7.734370703124998 51.328067968749998,7.382808398437497 51.328067968749998))
POLYGON ((7.031246093749998 51.503849023437496,7.031246093749998 51.591739550781234,7.207027246093748 51.591739550781234,7.207027246093748 51.503849023437496,7.031246093749998 51.503849023437496))
POLYGON ((7.207027246093748 51.503849023437496,7.207027246093748 51.591739550781234,7.382808398437497 51.591739550781234,7.382808398437497 51.503849023437496,7.207027246093748 51.503849023437496))
POLYGON ((7.031246093749998 51.591739550781234,7.031246093749998 51.679630078124994,7.207027246093748 51.679630078124994,7.207027246093748 51.591739550781234,7.031246093749998 51.591739550781234))
POLYGON ((7.207027246093748 51.591739550781234,7.207027246093748 51.679630078124994,7.382808398437497 51.679630078124994,7.382808398437497 51.591739550781234,7.207027246093748 51.591739550781234))
POLYGON ((7.382808398437497 51.503849023437496,7.382808398437497 51.679630078124994,7.734370703124998 51.679630078124994,7.734370703124998 51.503849023437496,7.382808398437497 51.503849023437496))
POLYGON ((7.734370703124998 51.328067968749998,7.734370703124998 51.503849023437503,8.085933007812498 51.503849023437503,8.085933007812498 51.328067968749998,7.734370703124998 51.328067968749998))
POLYGON ((8.085933007812498 51.328067968749998,8.085933007812498 51.503849023437503,8.437495312499998 51.503849023437503,8.437495312499998 51.328067968749998,8.085933007812498 51.328067968749998))
POLYGON ((7.734370703124998 51.503849023437503,7.734370703124998 51.679630078124994,8.085933007812498 51.679630078124994,8.085933007812498 51.503849023437503,7.734370703124998 51.503849023437503))
POLYGON ((8.085933007812498 51.503849023437503,8.085933007812498 51.679630078124994,8.437495312499998 51.679630078124994,8.437495312499998 51.503849023437503,8.085933007812498 51.503849023437503))
POLYGON ((7.031246093749998 51.679630078124994,7.031246093749998 51.855411132812492,7.382808398437498 51.855411132812492,7.382808398437498 51.679630078124994,7.031246093749998 51.679630078124994))
POLYGON ((7.382808398437498 51.679630078124994,7.382808398437498 51.855411132812492,7.734370703124998 51.855411132812492,7.734370703124998 51.679630078124994,7.382808398437498 51.679630078124994))
POLYGON ((7.031246093749998 51.855411132812492,7.031246093749998 52.031192187499997,7.382808398437498 52.031192187499997,7.382808398437498 51.855411132812492,7.031246093749998 51.855411132812492))
POLYGON ((7.382808398437498 51.855411132812492,7.382808398437498 51.943301660156237,7.558589550781248 51.943301660156237,7.558589550781248 51.855411132812492,7.382808398437498 51.855411132812492))
POLYGON ((7.558589550781248 51.855411132812492,7.558589550781248 51.943301660156237,7.734370703124998 51.943301660156237,7.734370703124998 51.855411132812492,7.558589550781248 51.855411132812492))
POLYGON ((7.382808398437498 51.943301660156237,7.382808398437498 52.031192187499997,7.558589550781248 52.031192187499997,7.558589550781248 51.943301660156237,7.382808398437498 51.943301660156237))
POLYGON ((7.558589550781248 51.943301660156237,7.558589550781248 52.031192187499997,7.734370703124998 52.031192187499997,7.734370703124998 51.943301660156237,7.558589550781248 51.943301660156237))
POLYGON ((7.734370703124998 51.679630078124994,7.734370703124998 51.855411132812499,8.085933007812498 51.855411132812499,8.085933007812498 51.679630078124994,7.734370703124998 51.679630078124994))
POLYGON ((8.085933007812498 51.679630078124994,8.085933007812498 51.855411132812499,8.437495312499998 51.855411132812499,8.437495312499998 51.679630078124994,8.085933007812498 51.679630078124994))
POLYGON ((7.734370703124998 51.855411132812499,7.734370703124998 52.031192187499997,8.085933007812498 52.031192187499997,8.085933007812498 51.855411132812499,7.734370703124998 51.855411132812499))
POLYGON ((8.085933007812498 51.855411132812499,8.085933007812498 52.031192187499997,8.437495312499998 52.031192187499997,8.437495312499998 51.855411132812499,8.085933007812498 51.855411132812499))
POLYGON ((8.437495312499998 50.62494375,8.437495312499998 50.800724804687498,8.789057617187497 50.800724804687498,8.789057617187497 50.62494375,8.437495312499998 50.62494375))
POLYGON ((8.789057617187497 50.62494375,8.789057617187497 50.800724804687498,9.140619921874997 50.800724804687498,9.140619921874997 50.62494375,8.789057617187497 50.62494375))
POLYGON ((8.437495312499998 50.800724804687498,8.437495312499998 50.976505859374996,8.789057617187497 50.976505859374996,8.789057617187497 50.800724804687498,8.437495312499998 50.800724804687498))
POLYGON ((8.789057617187497 50.800724804687498,8.789057617187497 50.976505859374996,9.140619921874997 50.976505859374996,9.140619921874997 50.800724804687498,8.789057617187497 50.800724804687498))
POLYGON ((9.140619921874997 50.62494375,9.140619921874997 50.800724804687491,9.492182226562496 50.800724804687491,9.492182226562496 50.62494375,9.140619921874997 50.62494375))
POLYGON ((9.492182226562496 50.62494375,9.492182226562496 50.800724804687491,9.843744531249998 50.800724804687491,9.843744531249998 50.62494375,9.492182226562496 50.62494375))
POLYGON ((9.140619921874997 50.800724804687491,9.140619921874997 50.976505859374996,9.492182226562496 50.976505859374996,9.492182226562496 50.800724804687491,9.140619921874997 50.800724804687491))
POLYGON ((9.492182226562496 50.800724804687491,9.492182226562496 50.976505859374996,9.843744531249998 50.976505859374996,9.843744531249998 50.800724804687491,9.492182226562496 50.800724804687491))
POLYGON ((8.437495312499998 50.976505859374996,8.437495312499998 51.152286914062493,8.789057617187497 51.152286914062493,8.789057617187497 50.976505859374996,8.437495312499998 50.976505859374996))
POLYGON ((8.789057617187497 50.976505859374996,8.789057617187497 51.152286914062493,9.140619921874997 51.152286914062493,9.140619921874997 50.976505859374996,8.789057617187497 50.976505859374996))
POLYGON ((8.437495312499998 51.152286914062493,8.437495312499998 51.328067968749991,8.789057617187497 51.328067968749991,8.789057617187497 51.152286914062493,8.437495312499998 51.152286914062493))
POLYGON ((8.789057617187497 51.152286914062493,8.789057617187497 51.328067968749991,9.140619921874997 51.328067968749991,9.140619921874997 51.152286914062493,8.789057617187497 51.152286914062493))
POLYGON ((9.140619921874997 50.976505859374996,9.140619921874997 51.152286914062486,9.492182226562498 51.152286914062486,9.492182226562498 50.976505859374996,9.140619921874997 50.976505859374996))
POLYGON ((9.492182226562498 50.976505859374996,9.492182226562498 51.152286914062486,9.843744531249998 51.152286914062486,9.843744531249998 50.976505859374996,9.492182226562498 50.976505859374996))
POLYGON ((9.140619921874997 51.152286914062486,9.140619921874997 51.328067968749991,9.492182226562498 51.328067968749991,9.492182226562498 51.152286914062486,9.140619921874997 51.152286914062486))
POLYGON ((9.492182226562498 51.152286914062486,9.492182226562498 51.328067968749991,9.843744531249998 51.328067968749991,9.843744531249998 51.152286914062486,9.492182226562498 51.152286914062486))
POLYGON ((9.843744531249998 50.62494375,9.843744531249998 50.976505859374996,10.546869140624999 50.976505859374996,10.546869140624999 50.62494375,9.843744531249998 50.62494375))
POLYGON ((10.546869140624999 50.62494375,10.546869140624999 50.800724804687498,10.898431445312497 50.800724804687498,10.898431445312497 50.62494375,10.546869140624999 50.62494375))
POLYGON ((10.898431445312497 50.62494375,10.898431445312497 50.800724804687498,11.24999375 50.800724804687498,11.24999375 50.62494375,10.898431445312497 50.62494375))
POLYGON ((10.546869140624999 50.800724804687498,10.546869140624999 50.976505859374996,10.898431445312497 50.976505859374996,10.898431445312497 50.800724804687498,10.546869140624999 50.800724804687498))
POLYGON ((10.898431445312497 50.800724804687498,10.898431445312497 50.976505859374996,11.24999375 50.976505859374996,11.24999375 50.800724804687498,10.898431445312497 50.800724804687498))
POLYGON ((9.843744531249998 50.976505859374996,9.843744531249998 51.152286914062486,10.195306835937499 51.152286914062486,10.195306835937499 50.976505859374996,9.843744531249998 50.976505859374996))
POLYGON ((10.195306835937499 50.976505859374996,10.195306835937499 51.152286914062486,10.546869140624999 51.152286914062486,10.546869140624999 50.976505859374996,10.195306835937499 50.976505859374996))
POLYGON ((9.843744531249998 51.152286914062486,9.843744531249998 51.328067968749991,10.195306835937499 51.328067968749991,10.195306835937499 51.152286914062486,9.843744531249998 51.152286914062486))
POLYGON ((10.195306835937499 51.152286914062486,10.195306835937499 51.328067968749991,10.546869140624999 51.328067968749991,10.546869140624999 51.152286914062486,10.195306835937499 51.152286914062486))
POLYGON ((10.546869140624999 50.976505859374996,10.546869140624999 51.152286914062493,10.898431445312498 51.152286914062493,10.898431445312498 50.976505859374996,10.546869140624999 50.976505859374996))
POLYGON ((10.898431445312498 50.976505859374996,10.898431445312498 51.152286914062493,11.24999375 51.152286914062493,11.24999375 50.976505859374996,10.898431445312498 50.976505859374996))
POLYGON ((10.546869140624999 51.152286914062493,10.546869140624999 51.328067968749991,10.898431445312498 51.328067968749991,10.898431445312498 51.152286914062493,10.546869140624999 51.152286914062493))
POLYGON ((10.898431445312498 51.152286914062493,10.898431445312498 51.328067968749991,11.24999375 51.328067968749991,11.24999375 51.152286914062493,10.898431445312498 51.152286914062493))
POLYGON ((8.437495312499998 51.328067968749991,8.437495312499998 51.503849023437503,8.789057617187497 51.503849023437503,8.789057617187497 51.328067968749991,8.437495312499998 51.328067968749991))
POLYGON ((8.789057617187497 51.328067968749991,8.789057617187497 51.503849023437503,9.140619921874997 51.503849023437503,9.140619921874997 51.328067968749991,8.789057617187497 51.328067968749991))
POLYGON ((8.437495312499998 51.503849023437503,8.437495312499998 51.679630078124994,8.789057617187497 51.679630078124994,8.789057617187497 51.503849023437503,8.437495312499998 51.503849023437503))
POLYGON ((8.789057617187497 51.503849023437503,8.789057617187497 51.679630078124994,9.140619921874997 51.679630078124994,9.140619921874997 51.503849023437503,8.789057617187497 51.503849023437503))
POLYGON ((9.140619921874997 51.328067968749991,9.140619921874997 51.503849023437496,9.492182226562496 51.503849023437496,9.492182226562496 51.328067968749991,9.140619921874997 51.328067968749991))
POLYGON ((9.492182226562496 51.328067968749991,9.492182226562496 51.503849023437496,9.843744531249998 51.503849023437496,9.843744531249998 51.328067968749991,9.492182226562496 51.328067968749991))
POLYGON ((9.140619921874997 51.503849023437496,9.140619921874997 51.679630078124994,9.492182226562496 51.679630078124994,9.492182226562496 51.503849023437496,9.140619921874997 51.503849023437496))
POLYGON ((9.492182226562496 51.503849023437496,9.492182226562496 51.679630078124994,9.843744531249998 51.679630078124994,9.843744531249998 51.503849023437496,9.492182226562496 51.503849023437496))
POLYGON ((8.437495312499998 51.679630078124994,8.437495312499998 51.855411132812492,8.789057617187497 51.855411132812492,8.789057617187497 51.679630078124994,8.437495312499998 51.679630078124994))
POLYGON ((8.789057617187497 51.679630078124994,8.789057617187497 51.855411132812492,9.140619921874997 51.855411132812492,9.140619921874997 51.679630078124994,8.789057617187497 51.679630078124994))
POLYGON ((8.437495312499998 51.855411132812492,8.437495312499998 51.943301660156237,8.613276464843745 51.943301660156237,8.613276464843745 51.855411132812492,8.437495312499998 51.855411132812492))
POLYGON ((8.613276464843745 51.855411132812492,8.613276464843745 51.943301660156237,8.789057617187497 51.943301660156237,8.789057617187497 51.855411132812492,8.613276464843745 51.855411132812492))
POLYGON ((8.437495312499998 51.943301660156237,8.437495312499998 52.031192187499997,8.613276464843745 52.031192187499997,8.613276464843745 51.943301660156237,8.437495312499998 51.943301660156237))
POLYGON ((8.613276464843745 51.943301660156237,8.613276464843745 52.031192187499997,8.789057617187497 52.031192187499997,8.789057617187497 51.943301660156237,8.613276464843745 51.943301660156237))
POLYGON ((8.789057617187497 51.855411132812492,8.789057617187497 52.031192187499997,9.140619921874997 52.031192187499997,9.140619921874997 51.855411132812492,8.789057617187497 51.855411132812492))
POLYGON ((9.140619921874997 51.679630078124994,9.140619921874997 51.855411132812492,9.492182226562496 51.855411132812492,9.492182226562496 51.679630078124994,9.140619921874997 51.679630078124994))
POLYGON ((9.492182226562496 51.679630078124994,9.492182226562496 51.855411132812492,9.843744531249998 51.855411132812492,9.843744531249998 51.679630078124994,9.492182226562496 51.679630078124994))
POLYGON ((9.140619921874997 51.855411132812492,9.140619921874997 52.031192187499997,9.492182226562496 52.031192187499997,9.492182226562496 51.855411132812492,9.140619921874997 51.855411132812492))
POLYGON ((9.492182226562496 51.855411132812492,9.492182226562496 52.031192187499997,9.843744531249998 52.031192187499997,9.843744531249998 51.855411132812492,9.492182226562496 51.855411132812492))
POLYGON ((9.843744531249998 51.328067968749991,9.843744531249998 51.503849023437503,10.195306835937497 51.503849023437503,10.195306835937497 51.328067968749991,9.843744531249998 51.328067968749991))
POLYGON ((10.195306835937497 51.328067968749991,10.195306835937497 51.503849023437503,10.546869140624997 51.503849023437503,10.546869140624997 51.328067968749991,10.195306835937497 51.328067968749991))
POLYGON ((9.843744531249998 51.503849023437503,9.843744531249998 51.679630078124994,10.195306835937497 51.679630078124994,10.195306835937497 51.503849023437503,9.843744531249998 51.503849023437503))
POLYGON ((10.195306835937497 51.503849023437503,10.195306835937497 51.679630078124994,10.546869140624997 51.679630078124994,10.546869140624997 51.503849023437503,10.195306835937497 51.503849023437503))
POLYGON ((10.546869140624997 51.328067968749991,10.546869140624997 51.679630078124994,11.24999375 51.679630078124994,11.24999375 51.328067968749991,10.546869140624997 51.328067968749991))
POLYGON ((9.843744531249998 51.679630078124994,9.843744531249998 51.855411132812492,10.195306835937497 51.855411132812492,10.195306835937497 51.679630078124994,9.843744531249998 51.679630078124994))
POLYGON ((10.195306835937497 51.679630078124994,10.195306835937497 51.855411132812492,10.546869140624997 51.855411132812492,10.546869140624997 51.679630078124994,10.195306835937497 51.679630078124994))
POLYGON ((9.843744531249998 51.855411132812492,9.843744531249998 52.031192187499997,10.195306835937497 52.031192187499997,10.195306835937497 51.855411132812492,9.843744531249998 51.855411132812492))
POLYGON ((10.195306835937497 51.855411132812492,10.195306835937497 52.031192187499997,10.546869140624997 52.031192187499997,10.546869140624997 51.855411132812492,10.195306835937497 51.855411132812492))
POLYGON ((10.546869140624997 51.679630078124994,10.546869140624997 52.031192187499997,11.24999375 52.031192187499997,11.24999375 51.679630078124994,10.546869140624997 51.679630078124994))
POLYGON ((5.624996875 52.031192187499997,5.624996875 52.206973242187502,5.976559179687499 52.206973242187502,5.976559179687499 52.031192187499997,5.624996875 52.031192187499997))
POLYGON ((5.976559179687499 52.031192187499997,5.976559179687499 52.206973242187502,6.328121484374999 52.206973242187502,6.328121484374999 52.031192187499997,5.976559179687499 52.031192187499997))
POLYGON ((5.624996875 52.206973242187502,5.624996875 52.382754296874992,5.976559179687499 52.382754296874992,5.976559179687499 52.206973242187502,5.624996875 52.206973242187502))
POLYGON ((5.976559179687499 52.206973242187502,5.976559179687499 52.382754296874992,6.328121484374999 52.382754296874992,6.328121484374999 52.206973242187502,5.976559179687499 52.206973242187502))
POLYGON ((6.328121484374999 52.031192187499997,6.328121484374999 52.206973242187487,6.679683789062499 52.206973242187487,6.679683789062499 52.031192187499997,6.328121484374999 52.031192187499997))
POLYGON ((6.679683789062499 52.031192187499997,6.679683789062499 52.206973242187487,7.031246093749998 52.206973242187487,7.031246093749998 52.031192187499997,6.679683789062499 52.031192187499997))
POLYGON ((6.328121484374999 52.206973242187487,6.328121484374999 52.382754296874992,6.679683789062499 52.382754296874992,6.679683789062499 52.206973242187487,6.328121484374999 52.206973242187487))
POLYGON ((6.679683789062499 52.206973242187487,6.679683789062499 52.382754296874992,7.031246093749998 52.382754296874992,7.031246093749998 52.206973242187487,6.679683789062499 52.206973242187487))
POLYGON ((5.624996875 52.382754296874992,5.624996875 52.55853535156249,5.9765591796875 52.55853535156249,5.9765591796875 52.382754296874992,5.624996875 52.382754296874992))
POLYGON ((5.9765591796875 52.382754296874992,5.9765591796875 52.55853535156249,6.328121484374999 52.55853535156249,6.328121484374999 52.382754296874992,5.9765591796875 52.382754296874992))
POLYGON ((5.624996875 52.55853535156249,5.624996875 52.734316406250002,5.9765591796875 52.734316406250002,5.9765591796875 52.55853535156249,5.624996875 52.55853535156249))
POLYGON ((5.9765591796875 52.55853535156249,5.9765591796875 52.734316406250002,6.328121484374999 52.734316406250002,6.328121484374999 52.55853535156249,5.9765591796875 52.55853535156249))
POLYGON ((6.328121484374999 52.382754296874992,6.328121484374999 52.558535351562497,6.679683789062498 52.558535351562497,6.679683789062498 52.382754296874992,6.328121484374999 52.382754296874992))
POLYGON ((6.679683789062498 52.382754296874992,6.679683789062498 52.558535351562497,7.031246093749998 52.558535351562497,7.031246093749998 52.382754296874992,6.679683789062498 52.382754296874992))
POLYGON ((6.328121484374999 52.558535351562497,6.328121484374999 52.734316406250002,6.679683789062498 52.734316406250002,6.679683789062498 52.558535351562497,6.328121484374999 52.558535351562497))
POLYGON ((6.679683789062498 52.558535351562497,6.679683789062498 52.734316406250002,7.031246093749998 52.734316406250002,7.031246093749998 52.558535351562497,6.679683789062498 52.558535351562497))
POLYGON ((7.031246093749998 52.031192187499997,7.031246093749998 52.206973242187502,7.382808398437498 52.206973242187502,7.382808398437498 52.031192187499997,7.031246093749998 52.031192187499997))
POLYGON ((7.382808398437498 52.031192187499997,7.382808398437498 52.206973242187502,7.734370703124998 52.206973242187502,7.734370703124998 52.031192187499997,7.382808398437498 52.031192187499997))
POLYGON ((7.031246093749998 52.206973242187502,7.031246093749998 52.382754296874992,7.382808398437498 52.382754296874992,7.382808398437498 52.206973242187502,7.031246093749998 52.206973242187502))
POLYGON ((7.382808398437498 52.206973242187502,7.382808398437498 52.382754296874992,7.734370703124998 52.382754296874992,7.734370703124998 52.206973242187502,7.382808398437498 52.206973242187502))
POLYGON ((7.734370703124998 52.031192187499997,7.734370703124998 52.206973242187487,8.085933007812498 52.206973242187487,8.085933007812498 52.031192187499997,7.734370703124998 52.031192187499997))
POLYGON ((8.085933007812498 52.031192187499997,8.085933007812498 52.206973242187487,8.437495312499998 52.206973242187487,8.437495312499998 52.031192187499997,8.085933007812498 52.031192187499997))
POLYGON ((7.734370703124998 52.206973242187487,7.734370703124998 52.29486376953124,7.910151855468748 52.29486376953124,7.910151855468748 52.206973242187487,7.734370703124998 52.206973242187487))
POLYGON ((7.910151855468748 52.206973242187487,7.910151855468748 52.29486376953124,8.085933007812498 52.29486376953124,8.085933007812498 52.206973242187487,7.910151855468748 52.206973242187487))
POLYGON ((7.734370703124998 52.29486376953124,7.734370703124998 52.382754296874992,7.910151855468748 52.382754296874992,7.910151855468748 52.29486376953124,7.734370703124998 52.29486376953124))
POLYGON ((7.910151855468748 52.29486376953124,7.910151855468748 52.382754296874992,8.085933007812498 52.382754296874992,8.085933007812498 52.29486376953124,7.910151855468748 52.29486376953124))
POLYGON ((8.085933007812498 52.206973242187487,8.085933007812498 52.382754296874992,8.437495312499998 52.382754296874992,8.437495312499998 52.206973242187487,8.085933007812498 52.206973242187487))
POLYGON ((7.031246093749998 52.382754296874992,7.031246093749998 52.734316406250002,7.734370703124998 52.734316406250002,7.734370703124998 52.382754296874992,7.031246093749998 52.382754296874992))
POLYGON ((7.734370703124998 52.382754296874992,7.734370703124998 52.558535351562497,8.085933007812498 52.558535351562497,8.085933007812498 52.382754296874992,7.734370703124998 52.382754296874992))
POLYGON ((8.085933007812498 52.382754296874992,8.085933007812498 52.558535351562497,8.437495312499998 52.558535351562497,8.437495312499998 52.382754296874992,8.085933007812498 52.382754296874992))
POLYGON ((7.734370703124998 52.558535351562497,7.734370703124998 52.734316406250002,8.085933007812498 52.734316406250002,8.085933007812498 52.558535351562497,7.734370703124998 52.558535351562497))
POLYGON ((8.085933007812498 52.558535351562497,8.085933007812498 52.734316406250002,8.437495312499998 52.734316406250002,8.437495312499998 52.558535351562497,8.085933007812498 52.558535351562497))
POLYGON ((5.624996875 52.734316406250002,5.624996875 52.910097460937507,5.9765591796875 52.910097460937507,5.9765591796875 52.734316406250002,5.624996875 52.734316406250002))
POLYGON ((5.9765591796875 52.734316406250002,5.9765591796875 52.910097460937507,6.328121484375 52.910097460937507,6.328121484375 52.734316406250002,5.9765591796875 52.734316406250002))
POLYGON ((5.624996875 52.910097460937507,5.624996875 53.085878515625005,5.9765591796875 53.085878515625005,5.9765591796875 52.910097460937507,5.624996875 52.910097460937507))
POLYGON ((5.9765591796875 52.910097460937507,5.9765591796875 53.085878515625005,6.328121484375 53.085878515625005,6.328121484375 52.910097460937507,5.9765591796875 52.910097460937507))
POLYGON ((6.328121484375 52.734316406250002,6.328121484375 53.085878515625005,7.031246093749998 53.085878515625005,7.031246093749998 52.734316406250002,6.328121484375 52.734316406250002))
POLYGON ((5.624996875 53.085878515625005,5.624996875 53.261659570312503,5.9765591796875 53.261659570312503,5.9765591796875 53.085878515625005,5.624996875 53.085878515625005))
POLYGON ((5.9765591796875 53.085878515625005,5.9765591796875 53.261659570312503,6.328121484375 53.261659570312503,6.328121484375 53.085878515625005,5.9765591796875 53.085878515625005))
POLYGON ((5.624996875 53.261659570312503,5.624996875 53.43744062499999,5.9765591796875 53.43744062499999,5.9765591796875 53.261659570312503,5.624996875 53.261659570312503))
POLYGON ((5.9765591796875 53.261659570312503,5.9765591796875 53.43744062499999,6.328121484375 53.43744062499999,6.328121484375 53.261659570312503,5.9765591796875 53.261659570312503))
POLYGON ((6.328121484375 53.085878515625005,6.328121484375 53.173769042968758,6.50390263671875 53.173769042968758,6.50390263671875 53.085878515625005,6.328121484375 53.085878515625005))
POLYGON ((6.50390263671875 53.085878515625005,6.50390263671875 53.173769042968758,6.6796837890625 53.173769042968758,6.6796837890625 53.085878515625005,6.50390263671875 53.085878515625005))
POLYGON ((6.328121484375 53.173769042968758,6.328121484375 53.261659570312503,6.50390263671875 53.261659570312503,6.50390263671875 53.173769042968758,6.328121484375 53.173769042968758))
POLYGON ((6.50390263671875 53.173769042968758,6.50390263671875 53.21771430664063,6.591793212890624 53.21771430664063,6.591793212890624 53.173769042968758,6.50390263671875 53.173769042968758))
POLYGON ((6.591793212890624 53.173769042968758,6.591793212890624 53.21771430664063,6.6796837890625 53.21771430664063,6.6796837890625 53.173769042968758,6.591793212890624 53.173769042968758))
POLYGON ((6.50390263671875 53.21771430664063,6.50390263671875 53.261659570312503,6.591793212890624 53.261659570312503,6.591793212890624 53.21771430664063,6.50390263671875 53.21771430664063))
POLYGON ((6.591793212890624 53.21771430664063,6.591793212890624 53.261659570312503,6.6796837890625 53.261659570312503,6.6796837890625 53.21771430664063,6.591793212890624 53.21771430664063))
POLYGON ((6.6796837890625 53.085878515625005,6.6796837890625 53.261659570312503,7.031246093749998 53.261659570312503,7.031246093749998 53.085878515625005,6.6796837890625 53.085878515625005))
POLYGON ((6.328121484375 53.261659570312503,6.328121484375 53.43744062499999,6.6796837890625 53.43744062499999,6.6796837890625 53.261659570312503,6.328121484375 53.261659570312503))
POLYGON ((6.6796837890625 53.261659570312503,6.6796837890625 53.43744062499999,7.031246093749998 53.43744062499999,7.031246093749998 53.261659570312503,6.6796837890625 53.261659570312503))
POLYGON ((7.031246093749998 52.734316406250002,7.031246093749998 53.085878515625005,7.734370703124999 53.085878515625005,7.734370703124999 52.734316406250002,7.031246093749998 52.734316406250002))
POLYGON ((7.734370703124999 52.734316406250002,7.734370703124999 53.085878515625005,8.437495312499998 53.085878515625005,8.437495312499998 52.734316406250002,7.734370703124999 52.734316406250002))
POLYGON ((7.031246093749998 53.085878515625005,7.031246093749998 53.43744062499999,7.734370703124999 53.43744062499999,7.734370703124999 53.085878515625005,7.031246093749998 53.085878515625005))
POLYGON ((7.734370703124999 53.085878515625005,7.734370703124999 53.43744062499999,8.437495312499998 53.43744062499999,8.437495312499998 53.085878515625005,7.734370703124999 53.085878515625005))
POLYGON ((8.437495312499998 52.031192187499997,8.437495312499998 52.206973242187495,8.789057617187497 52.206973242187495,8.789057617187497 52.031192187499997,8.437495312499998 52.031192187499997))
POLYGON ((8.789057617187497 52.031192187499997,8.789057617187497 52.206973242187495,9.140619921874997 52.206973242187495,9.140619921874997 52.031192187499997,8.789057617187497 52.031192187499997))
POLYGON ((8.437495312499998 52.206973242187495,8.437495312499998 52.382754296875,8.789057617187497 52.382754296875,8.789057617187497 52.206973242187495,8.437495312499998 52.206973242187495))
POLYGON ((8.789057617187497 52.206973242187495,8.789057617187497 52.382754296875,9.140619921874997 52.382754296875,9.140619921874997 52.206973242187495,8.789057617187497 52.206973242187495))
POLYGON ((9.140619921874997 52.031192187499997,9.140619921874997 52.206973242187495,9.492182226562496 52.206973242187495,9.492182226562496 52.031192187499997,9.140619921874997 52.031192187499997))
POLYGON ((9.492182226562496 52.031192187499997,9.492182226562496 52.206973242187495,9.843744531249998 52.206973242187495,9.843744531249998 52.031192187499997,9.492182226562496 52.031192187499997))
POLYGON ((9.140619921874997 52.206973242187495,9.140619921874997 52.382754296875,9.492182226562496 52.382754296875,9.492182226562496 52.206973242187495,9.140619921874997 52.206973242187495))
POLYGON ((9.492182226562496 52.206973242187495,9.492182226562496 52.382754296875,9.843744531249998 52.382754296875,9.843744531249998 52.206973242187495,9.492182226562496 52.206973242187495))
POLYGON ((8.437495312499998 52.382754296875,8.437495312499998 52.734316406250002,9.140619921874997 52.734316406250002,9.140619921874997 52.382754296875,8.437495312499998 52.382754296875))
POLYGON ((9.140619921874997 52.382754296875,9.140619921874997 52.558535351562497,9.492182226562496 52.558535351562497,9.492182226562496 52.382754296875,9.140619921874997 52.382754296875))
POLYGON ((9.492182226562496 52.382754296875,9.492182226562496 52.558535351562497,9.843744531249998 52.558535351562497,9.843744531249998 52.382754296875,9.492182226562496 52.382754296875))
POLYGON ((9.140619921874997 52.558535351562497,9.140619921874997 52.734316406250002,9.492182226562496 52.734316406250002,9.492182226562496 52.558535351562497,9.140619921874997 52.558535351562497))
POLYGON ((9.492182226562496 52.558535351562497,9.492182226562496 52.734316406250002,9.843744531249998 52.734316406250002,9.843744531249998 52.558535351562497,9.492182226562496 52.558535351562497))
POLYGON ((9.843744531249998 52.031192187499997,9.843744531249998 52.206973242187495,10.195306835937497 52.206973242187495,10.195306835937497 52.031192187499997,9.843744531249998 52.031192187499997))
POLYGON ((10.195306835937497 52.031192187499997,10.195306835937497 52.206973242187495,10.546869140624997 52.206973242187495,10.546869140624997 52.031192187499997,10.195306835937497 52.031192187499997))
POLYGON ((9.843744531249998 52.206973242187495,9.843744531249998 52.382754296875,10.195306835937497 52.382754296875,10.195306835937497 52.206973242187495,9.843744531249998 52.206973242187495))
POLYGON ((10.195306835937497 52.206973242187495,10.195306835937497 52.294863769531247,10.371087988281248 52.294863769531247,10.371087988281248 52.206973242187495,10.195306835937497 52.206973242187495))
POLYGON ((10.371087988281248 52.206973242187495,10.371087988281248 52.294863769531247,10.546869140624997 52.294863769531247,10.546869140624997 52.206973242187495,10.371087988281248 52.206973242187495))
