POLYGON ((-179.9999 -89.9999,-179.9999 -0.0,0 0,-0.0 -89.9999,-179.9999 -89.9999))
POLYGON ((8.657221752929683 50.097600585937485,8.657221752929683 50.119573217773421,8.701167041015621 50.119573217773421,8.701167041015621 50.097600585937485,8.657221752929683 50.097600585937485))
POLYGON ((8.613276464843745 50.119573217773421,8.613276464843745 50.141545849609358,8.657221752929683 50.141545849609358,8.657221752929683 50.119573217773421,8.613276464843745 50.119573217773421))
POLYGON ((8.657221752929683 50.119573217773421,8.657221752929683 50.141545849609358,8.701167041015621 50.141545849609358,8.701167041015621 50.119573217773421,8.657221752929683 50.119573217773421))
POLYGON ((8.701167041015621 50.097600585937485,8.701167041015621 50.141545849609358,8.789057617187497 50.141545849609358,8.789057617187497 50.097600585937485,8.701167041015621 50.097600585937485))
POLYGON ((8.613276464843745 50.141545849609358,8.613276464843745 50.185491113281238,8.701167041015621 50.185491113281238,8.701167041015621 50.141545849609358,8.613276464843745 50.141545849609358))
POLYGON ((8.701167041015621 50.141545849609358,8.701167041015621 50.185491113281238,8.789057617187497 50.185491113281238,8.789057617187497 50.141545849609358,8.701167041015621 50.141545849609358))
POLYGON ((8.437495312499998 50.185491113281238,8.437495312499998 50.27338164062499,8.613276464843745 50.27338164062499,8.613276464843745 50.185491113281238,8.437495312499998 50.185491113281238))
POLYGON ((8.613276464843745 50.185491113281238,8.613276464843745 50.27338164062499,8.789057617187497 50.27338164062499,8.789057617187497 50.185491113281238,8.613276464843745 50.185491113281238))
POLYGON ((8.789057617187497 50.097600585937485,8.789057617187497 50.27338164062499,9.140619921874997 50.27338164062499,9.140619921874997 50.097600585937485,8.789057617187497 50.097600585937485))
POLYGON ((9.140619921874997 49.921819531249987,9.140619921874997 50.097600585937485,9.492182226562496 50.097600585937485,9.492182226562496 49.921819531249987,9.140619921874997 49.921819531249987))
POLYGON ((9.492182226562496 49.921819531249987,9.492182226562496 50.097600585937485,9.843744531249998 50.097600585937485,9.843744531249998 49.921819531249987,9.492182226562496 49.921819531249987))
POLYGON ((9.140619921874997 50.097600585937485,9.140619921874997 50.27338164062499,9.492182226562496 50.27338164062499,9.492182226562496 50.097600585937485,9.140619921874997 50.097600585937485))
POLYGON ((9.492182226562496 50.097600585937485,9.492182226562496 50.27338164062499,9.843744531249998 50.27338164062499,9.843744531249998 50.097600585937485,9.492182226562496 50.097600585937485))
POLYGON ((8.437495312499998 50.27338164062499,8.437495312499998 50.449162695312495,8.789057617187497 50.449162695312495,8.789057617187497 50.27338164062499,8.437495312499998 50.27338164062499))
POLYGON ((8.789057617187497 50.27338164062499,8.789057617187497 50.449162695312495,9.140619921874997 50.449162695312495,9.140619921874997 50.27338164062499,8.789057617187497 50.27338164062499))
POLYGON ((8.437495312499998 50.449162695312495,8.437495312499998 50.62494375,8.789057617187497 50.62494375,8.789057617187497 50.449162695312495,8.437495312499998 50.449162695312495))
POLYGON ((8.789057617187497 50.449162695312495,8.789057617187497 50.62494375,9.140619921874997 50.62494375,9.140619921874997 50.449162695312495,8.789057617187497 50.449162695312495))
POLYGON ((9.140619921874997 50.27338164062499,9.140619921874997 50.449162695312495,9.492182226562496 50.449162695312495,9.492182226562496 50.27338164062499,9.140619921874997 50.27338164062499))
POLYGON ((9.492182226562496 50.27338164062499,9.492182226562496 50.449162695312495,9.843744531249998 50.449162695312495,9.843744531249998 50.27338164062499,9.492182226562496 50.27338164062499))
POLYGON ((9.140619921874997 50.449162695312495,9.140619921874997 50.62494375,9.492182226562496 50.62494375,9.492182226562496 50.449162695312495,9.140619921874997 50.449162695312495))
POLYGON ((9.492182226562496 50.449162695312495,9.492182226562496 50.62494375,9.843744531249998 50.62494375,9.843744531249998 50.449162695312495,9.492182226562496 50.449162695312495))
POLYGON ((9.843744531249998 49.921819531249987,9.843744531249998 50.097600585937485,10.195306835937497 50.097600585937485,10.195306835937497 49.921819531249987,9.843744531249998 49.921819531249987))
